1 Ts,1,2,Sl,147
1 Ts,3,5,Sl,148
Jl,,,Sl,149
Mq,1,3,Sl,150
Mq,4,5,Is,40
Mq,6,7,Is,41
2 Ts,,,Is,42
Na,,,Is,43
2 Pe,,,Is,44
Hc,,,Is,45
Sf,,,Is,46
Jd,,,Is,47
Ag,,,Is,48
Zc,1,3,Is,49
Zc,4,6,Is,50
Zc,7,9,Is,51
Zc,10,12,Is,52
Zc,13,14,Is,53
Ml,1,2,Is,54
Ml,3,4,Is,55
Ap,1,2,Is,56
Ap,3,4,Is,57
Ap,5,6,Is,58
Ap,7,8,Is,59
Ap,9,10,Is,60
Ap,11,12,Is,61
Ap,13,14,Is,62
Ap,15,16,Is,63
Ap,17,18,Is,64
Ap,19,20,Is,65
Ap,21,22,Is,66
